t,o,h,l,c,v,oi,series,data_source
2024-05-28 13:27:00,49303.0,49323.55,49285.0,49311.0,12360.0,1792905.0,I,
2024-05-28 13:30:00,49311.0,49317.25,49247.2,49250.0,22455.0,1798125.0,I,
2024-05-28 13:33:00,49245.0,49266.7,49233.85,49249.2,8370.0,1806855.0,I,
2024-05-28 13:36:00,49249.2,49307.2,49225.05,49298.6,10290.0,1807365.0,I,
2024-05-28 13:39:00,49298.8,49320.2,49281.05,49288.5,8475.0,1807935.0,I,
2024-05-28 13:42:00,49289.9,49329.8,49283.9,49321.7,6270.0,1805985.0,I,
2024-05-28 13:45:00,49321.2,49334.95,49300.95,49326.4,5505.0,1804290.0,I,
2024-05-28 13:48:00,49326.4,49330.1,49295.0,49300.0,3750.0,1788510.0,I,
2024-05-28 13:51:00,49300.0,49320.0,49282.0,49282.75,3660.0,1787820.0,I,
2024-05-28 13:54:00,49286.05,49291.05,49260.25,49272.45,5955.0,1787775.0,I,
2024-05-28 13:57:00,49272.45,49282.75,49264.6,49270.95,3135.0,1789350.0,I,
2024-05-28 14:00:00,49265.5,49298.0,49251.3,49285.0,5580.0,1789875.0,I,
2024-05-28 14:03:00,49285.0,49292.05,49250.0,49263.25,6075.0,1791930.0,I,
2024-05-28 14:06:00,49263.25,49279.2,49240.0,49240.0,7365.0,1790790.0,I,
2024-05-28 14:09:00,49244.9,49281.75,49233.35,49275.6,4830.0,1789650.0,I,
2024-05-28 14:12:00,49275.6,49290.0,49266.85,49287.85,3765.0,1790595.0,I,
2024-05-28 14:15:00,49276.9,49313.0,49267.75,49310.95,8310.0,1789215.0,I,
2024-05-28 14:18:00,49311.65,49314.95,49290.95,49305.0,3795.0,1789590.0,I,
2024-05-28 14:21:00,49305.0,49305.1,49260.55,49272.75,3390.0,1788030.0,I,
2024-05-28 14:24:00,49272.75,49298.95,49266.35,49278.5,1950.0,1787925.0,I,
2024-05-28 14:27:00,49278.5,49280.75,49250.05,49270.0,4065.0,1785885.0,I,
